name,category,phone,address,location,rating,review_count,website,place_id
Walk 'N' Wagz North Down,pet sitting,07516 453441,"Co.down, 11 Sunningdale Park, Bangor BT20 4UU, UK","Bangor, Northern Ireland",5,2,https://www.facebook.com/profile.php?id=61556797540885,ChIJ5Semefh1YUgR2W1zYi-T4rM
County Down Small Pet Holiday Boarding,pet sitting,07895 044835,"Meadowvale Park, Newcastle BT33 0TH, UK","Bangor, Northern Ireland",5,2,,ChIJvQZ78T0jYUgRA99n5CGb2MI
Ards Painting & Decorating,painter decorator,07746 171543,"22 Ardmillan Cres, Newtownards BT23 4PW, UK","Bangor, Northern Ireland",5,2,,ChIJHb143ex0YUgRv0TVECL_jr8
Contract Autos,mobile mechanic,07929 279357,"73a Green Rd, Bangor BT19 7QA, UK","Bangor, Northern Ireland",5,2,,ChIJaUqavT11YUgRshfXM-SU5Xk
Beatbox Music Studio,music teacher,07927 236316,"42, Dunlop Industrial Units, 8 Balloo Dr, Bangor BT19 7QY, UK","Bangor, Northern Ireland",5,2,http://www.facebook.com/beatboxbangor,ChIJjwYTV_51YUgRCdD-AwSoqbs
Scott Fulton Driving Instruction,driving instructor,07740 933403,"42 Ardvanagh Dr, Bangor, Newtownards BT23 7XQ, UK","Bangor, Northern Ireland",4,2,,ChIJBbB5spV1YUgR8RDHVSuML08
Hair by Gillian,mobile hairdresser,07743 524794,"39 Brownlow St, Comber, Newtownards BT23 5EP, UK","Newtownards, Northern Ireland",5,2,,ChIJ7QLUpqQMYUgRxhic3_h76js
Hairy Styles,dog groomer,07845 467861,"B7, Park, Strangford House, Jubilee Rd, Newtownards BT23 4YH, UK","Newtownards, Northern Ireland",5,2,,ChIJn_2s3rd1YUgRjU3c-D_eWhM
Meraki in Focus,event photographer,07738 493613,"10 Cambourne Mews, Newtownards BT23 4WB, UK","Newtownards, Northern Ireland",5,2,,ChIJ8QIYDlZ1YUgRqeGtk5tdTD0
Photo Restoration ER,freelance photographer,07500 787972,"48 Beverley Walk, Newtownards BT23 7UQ, UK","Newtownards, Northern Ireland",5,2,,ChIJUUUbBtV1YUgR8sRRJrmiRtI
RB Gardening Services,gardening service,07761 468659,"5 Tower Park, Conlig, Newtownards BT23 7PL, UK","Newtownards, Northern Ireland",5,2,,ChIJ90DEsvp1YUgRfo1SI39v5dU
WrightsCuts,landscaping,07710 444594,"Dermott Ave, Comber, Newtownards BT23 5JF, UK","Newtownards, Northern Ireland",5,2,,ChIJl_1XAgQNYUgRIAWE3xDatoY
Dani's Home Hair,mobile hairdresser,07740 046652,"4 Garranard Park, Belfast BT4 2GL, UK","Belfast, Northern Ireland",5,1,https://www.facebook.com/DanisHomeHair,ChIJRXEippYLYUgRsWK7hh28_lg
Dapper Dogs Mobile Grooming,mobile dog grooming,07368 243039,"Prehen Park, Derry BT47 2NY, UK","Belfast, Northern Ireland",5,1,https://www.facebook.com/share/7EEw52GaybQdHqHK/?mibextid=LQQJ4d,ChIJjew6TazhX0gRoBPB_VCmX2s
Handyman NI,handyman,07842 723238,"33 Ainsworth Dr, Belfast BT13 3EJ, UK","Belfast, Northern Ireland",5,1,,ChIJa6hfBEh0YUgRJtlI6SYatJw
Handyman Services Ni,handyman,07817 608122,"13 Chichester Rd, Belfast BT15 5EJ, UK","Belfast, Northern Ireland",5,1,,ChIJBQEzHR4JYUgRJpLYrq9EGZ0
ID Painting & Decorating,painter decorator,07857 974046,"51 Mountcollyer Ave, Belfast BT15 3DR, UK","Belfast, Northern Ireland",5,1,,ChIJ1SLiBuYJYUgR3J-2MSPIj80
Bowen Tile,tiling contractor,07519 512730,"15 Rochester Dr, Castlereagh, Belfast BT6 9JX, UK","Belfast, Northern Ireland",5,1,,ChIJVaQXHu8JYUgRhbL_n03-Qvs
Jasmine's Kitchen,mobile catering,07402 975851,"23 Castlereagh Pl, Belfast BT5 4NN, UK","Belfast, Northern Ireland",5,1,,ChIJh49S8-gJYUgRYHmbMkYbG-k
Happy Home Child Care,chilminder,07872 121565,"19 Hightown Dr, Newtownabbey BT36 7TG, UK","Belfast, Northern Ireland",5,1,https://www.facebook.com/HappyHomeChildCare,ChIJU0os87inYUgRY2-Y4WncGKE
HAPPY TAILZ BED & BISCUITS,pet sitting,07775 786417,"64 Mullaghsandall Road, Larne BT40 2LY, UK","East Belfast, Northern Ireland",5,1,https://www.facebook.com/HappyTailzBelfast?ref=hl,ChIJp_lPaBoIYUgR1U6AgxLMGcY
Painter and Decorator Belfast,painter decorator,07418 342355,"2/321 Albertbridge Rd, Belfast BT5 4PY, UK","East Belfast, Northern Ireland",1,1,,ChIJgTzu1B4JYUgRc3YrAqwJfow
Xtreme Cleaning Services ni,cleaning service,07517 003144,"Creggan St, Londonderry BT48 0EU, UK","East Belfast, Northern Ireland",5,1,,ChIJcVNAEwPhX0gRPA3XhEYGulw
The Nurtured Baby Hub,babysitting service,07732 894168,"The Mount, Belfast BT5 4NA, UK","East Belfast, Northern Ireland",5,1,,ChIJf09BAG4JYUgRXjNc9F6sbao
Josie’s Bed & Biscuit,pet sitting,07787 087618,"Gortnessy Meadows, Lettershendony, Londonderry BT47 3FW, UK","West Belfast, Northern Ireland",5,1,https://www.instagram.com/josiesbedandbiscuit?igsh=NG52c3Q5MXZ1aXpv&utm_source=qr,ChIJO2KISNieoCQReW9wwxiwDLY
Accent Music Belfast,music teacher,07841 163179,"34 Woodview Dr, Belfast BT5 7PY, UK","West Belfast, Northern Ireland",5,1,,ChIJGclrdt4LYUgRuUB4ADBvaf8
D&P Autos mobile mechanic,mobile mechanic,07367 695903,"Donemana, Stoneybrook BT82 0FE, UK","South Belfast, Northern Ireland",5,1,,ChIJ9WYc647fX0gRDVWQv_MrQfU
The Barking Lounge,dog groomer,07546 317598,"Woodbrook Ave, Lisburn BT28 2ZG, UK","Lisburn, Northern Ireland",5,1,,ChIJU3uDcnMDYUgR_uc6hm0ekr8
Belsize Landscapes,landscaping,07753 357172,"55 Belsize Rd, Lisburn BT27 4BS, UK","Lisburn, Northern Ireland",5,1,,ChIJxXzhckcEYUgR9puBYu-J9sQ
DC TREE CARE SPECIALIST,tree surgeon,07490 674603,"Lusk Transport Ltd, 48 Knockany Rd, Lisburn BT27 6YB, UK","Lisburn, Northern Ireland",5,1,,ChIJ6XkK1nUPYUgR4wHn61v_orw
RB Tiling Services,tiling contractor,07840 155680,"25 Coronation Gardens, County, Antrim, Lisburn BT27 5RG, UK","Lisburn, Northern Ireland",5,1,,ChIJN-d3HHIDYUgRuszmaANxmDI
Ducklings Daycare,babysitting service,07795 600860,"19 Mount Eagles Ave, Belfast, Dunmurry, Lisburn BT17 0GT, UK","Lisburn, Northern Ireland",5,1,,ChIJAbieQlQHYUgR7jErWfu3EB8
Rock Solid Guitar Studio,music teacher,07533 551741,"26 Llewellyn Ave, Lisburn BT27 4AG, UK","Lisburn, Northern Ireland",3,1,https://www.facebook.com/RockSolidGuitar,ChIJp-z-ZFgFYUgRFMt0cBUPdCs
Ross's Pet Collective,pet sitting,07864 861761,"11 Oakwood Park, Bangor BT20 3TR, UK","Bangor, Northern Ireland",5,1,https://www.facebook.com/rosspetcollective,ChIJA-aewzGfYUgR7dpt75QaB9Y
3F Personal Training,personal trainer,07711 249346,"24 Fifth Ave, Baylands Ct, Bangor BT20 5JP, UK","Bangor, Northern Ireland",5,1,http://www.facebook.com/3FPTraining,ChIJcbGfgwWeYUgRLgLWcMc-k80
L.E valets,mobile car wash,07596 108664,"20 Perry Dr, Bangor, BT196UD BT19 6UD, UK","Bangor, Northern Ireland",5,1,,ChIJE0udNa53YUgRUxPkzWgwXmY
ClearCut Details & Valeting,mobile car wash,07714 214328,"The Pitstop 39 Balloo Road Bangor County Down, Bangor BT19 7PG, UK","Bangor, Northern Ireland",5,1,,ChIJ-dO02A11YUgRYiIECjv5_Wo
Ld detailing,car detailing,07805 737610,"7 Dixon Rd, Bangor BT19 6AU, UK","Bangor, Northern Ireland",5,1,,ChIJhW-LFHKdYUgRcGdzVVU73BU
Brush Strokes Painting and Decorating,painter decorator,07436 266515,"12 Mason St, Bangor LL57 1DE, UK","Bangor, Northern Ireland",5,1,,ChIJ8_fnB79cVoQRfaefTo9QpuY
Bridget Benson L.T.C.L . Flute Teacher,music teacher,07712 627888,"22 Bellevue, Bangor BT20 5QW, UK","Bangor, Northern Ireland",5,1,,ChIJz0hZfAeeYUgR1TlmU4jONo0
StarskyNClutch,driving instructor,07494 282256,"Ballyholme Rd, Bangor BT20, UK","Bangor, Northern Ireland",5,1,,ChIJYxTADPOfYUgRPYownK6tGGA
Icing on the Cake,wedding cake maker,07725 516112,"79 Groomsport Rd, Bangor BT20 5ND, UK","Bangor, Northern Ireland",5,1,,ChIJf6HkvgeeYUgRwpleJI0VeRY
THE LASH STUDIO,mobile beauty therapist,07934 994453,"Unit 3, 114 High St, Holywood BT18 9HW, UK","Holywood, Northern Ireland",5,1,,ChIJmaq-FuwIYUgRFwEqI0A-meo
Holywoof Grooming,dog groomer,07712 580853,"23 Firmount Cres, Holywood BT18 9QN, UK","Holywood, Northern Ireland",5,1,,ChIJ_XfoSjYLYUgRBlKPuaW7BWw
Eclipse,event photographer,07850 045995,"28 Croft Rd, Holywood BT18 0PB, UK","Holywood, Northern Ireland",5,1,,ChIJ0cJI4HgKYUgR8J9hzjwUjck
Craigavad Garden Services,gardening service,07719 553750,"72a Ballymoney Rd, Holywood BT18 0JJ, UK","Holywood, Northern Ireland",5,1,,ChIJRXy2oQagYUgR2TZ7pnFha-8
Jl Gardening Services,gardening service,07872 390975,"83 Abbey Ring, Holywood BT18 9NU, UK","Holywood, Northern Ireland",1,1,,ChIJ3wxchBIKYUgRjndjS-2wKSs
Mark Morrison Tiling,tiling contractor,07803 897789,"2 Whiteways, Mountain Rd, Newtownards BT23 4UW, UK","Holywood, Northern Ireland",5,1,,ChIJl2mJxAJ1YUgRwJN-0hr7mps
Shane Hamill Piano,music teacher,07476 970196,"26 Bangor Rd, Holywood BT18 0LQ, UK","Holywood, Northern Ireland",5,1,,ChIJD21zuyILYUgR_AYf97esirw
Paws Woofs Hoofs,pet sitting,07840 829897,"5 Fir Dr, Newtownards BT23 4HH, UK","Newtownards, Northern Ireland",5,1,,ChIJZSngnPx0YUgRNuZI592F1TI
SP Gardening and landscaping Services -Newtownards/Bangor/North Down / Belfast,gardening service,07739 897991,"171 Scrabo Rd, Newtownards BT23 4SJ, UK","Newtownards, Northern Ireland",5,1,,ChIJfYUVEJZ0YUgRAupCbOJYyoU
McGrogan Tiler,tiling contractor,07815 061771,"26 Cornmill Avenue, Millisle, Newtownards BT22 2GN, UK","Newtownards, Northern Ireland",5,1,,ChIJP-KKhGZ3YUgRXjDecEKEf1U
Tullycross Tiling,tiling contractor,07719 939164,"3 Tullycross Rd, Ardkeen, Newtownards BT22 1JJ, UK","Newtownards, Northern Ireland",5,1,,ChIJVaOh1gxvYUgRqNs1Q6bbjDM
Dream Clean NI,cleaning service,07518 524250,"32 Mill St Ct, Newtownards BT23 4JE, UK","Newtownards, Northern Ireland",5,1,https://www.facebook.com/dreamcleanni/,ChIJrSsnLO50YUgR0JQ3slm_ql8
Little Rainbows Playgroup,babysitting service,07854 268145,"87 Movilla Rd, Newtownards BT23 8RQ, UK","Newtownards, Northern Ireland",5,1,,ChIJ_TUsp351YUgRwgmcB4FY0wI
Esther Moore Piano Lessons,music teacher,07724 033859,"25 Lisbarnet Rd, Lisbane, Comber, Newtownards BT23 6AW, UK","Newtownards, Northern Ireland",5,1,,ChIJPXK77NRzYUgRty2r_kUNwHE
C L F School of Motoring,driving instructor,07912 363581,"15 Tara Cres, Newtownards BT23 7DF, UK","Newtownards, Northern Ireland",5,1,,ChIJs-grvFN0YUgRs-XSiCYdrdc
Chris The Barber,mobile barber,07517 320068,"29 Kilmore Cl, Belfast BT13 2TE, UK","Belfast, Northern Ireland",0,0,,ChIJa1Tq7LcJYUgRqLgCUuP-n4I
CAR WASH (Mobile),mobile car wash,07708 580460,"36 Killynure Grn, Carryduff, Belfast BT8 8FA, UK","Belfast, Northern Ireland",0,0,,ChIJp0cgNI0PYUgRIeSRAcGan6Y
PM Tiling,tiling contractor,07985 108484,"83 Bracken Prk, Londonderry BT48 8AZ, UK","Belfast, Northern Ireland",0,0,,ChIJW_OmSxnjX0gRU7IcEj4Osz8
Registered childminder,chilminder,07518 366095,"58 Severn St, Belfast BT4 1FB, UK","Belfast, Northern Ireland",0,0,,ChIJXUcgup8JYUgRhSIz9G4wsk8
Angela’s Angels,chilminder,07592 199887,"9 Greenane Cres, Belfast BT10 0NY, UK","Belfast, Northern Ireland",0,0,https://m.facebook.com/Angelas-Angels-2118330914911866/,ChIJX7qiRnsHYUgRh0-FxO4GW1I
twinkle star daycare,chilminder,07710 258861,"Mayfield Square, Belfast BT10 0QR, UK","Belfast, Northern Ireland",0,0,,ChIJReZKFCsHYUgRWuMZLBgDMQ8
Newborn Night Nanny,babysitting service,07769 584897,"176 Ballyclare Rd, County, Glengormley, Antrim BT36 5JR, UK","Belfast, Northern Ireland",0,0,https://www.facebook.com/p/Newborn-Night-Nanny-61557804815570/,ChIJp3h0gSmnYUgRS8KllMXxD_Q
Mobile Man Cuts,mobile barber,07514 729887,"11 Beaufort Dr, Londonderry BT47 6FG, UK","East Belfast, Northern Ireland",0,0,https://www.facebook.com/mobilemancuts,ChIJeRdMAyvhX0gRTT8SaHYCVNs
Relax & Recharge Holistic Massage Therapy Belfast,mobile massage therapist,07743 304158,"330 Beersbridge Rd, Belfast BT5 5DY, UK","East Belfast, Northern Ireland",0,0,,ChIJRWkI2-4JYUgREck3HdQZLhs
Derry Garden Services,gardening service,07523 612005,"Londonderry BT47 6BB, UK","West Belfast, Northern Ireland",0,0,,ChIJZZXcSSrhX0gRP1KC-aQpnfI
Total Floor Care NI - Tile & Grout Cleaning Belfast,tiling contractor,07933 650590,"39 Lansdowne Rd, Belfast BT15 4AA, UK","West Belfast, Northern Ireland",0,0,,ChIJ8V_7BgAJYUgRE9a_iwul7J8
SS Tiling,tiling contractor,07513 828485,"36 Crimea St, Belfast BT13 1LT, UK","West Belfast, Northern Ireland",0,0,,ChIJsTi_Ol0IYUgR4UUNQNZkMw4
Emma’s Childminding,chilminder,07510 074323,"44 Church Rd, Rasharkin, Ballymena BT44 8QY, UK","West Belfast, Northern Ireland",0,0,,ChIJzaIRGYBJYEgRx65FagFxKyg
Wild Ones Childminding- Castlecaulfield,chilminder,07415 370627,"49 Foygh Rd, Dungannon BT70 3DH, UK","West Belfast, Northern Ireland",0,0,,ChIJHRg1lLGJYEgRR4jXNCzHvOg
JD Garden Services NI,gardening service,07591 124249,"33 Dhu Varren Parade, Belfast BT13 3FJ, UK","South Belfast, Northern Ireland",0,0,,ChIJqVftb6IJYUgRHrmfzngK6VI
Best Paws Forward,pet sitting,07511 472720,"Avonmore Park, Lisburn BT28 1NE, UK","Lisburn, Northern Ireland",0,0,,ChIJKc5WlIcEYUgRLMrK2p3nZ1U
Ryan Quinn Fitness,personal trainer,07956 871482,"17 Altona Rd, Lisburn BT27 5QB, UK","Lisburn, Northern Ireland",0,0,https://www.instagram.com/ryanquinnfitness/?hl=en,ChIJw431mPQFYUgRiEwYCNggoPQ
PMG detailing,car detailing,07724 277676,"10 Barbour Ct, Lisburn BT27 5DR, UK","Lisburn, Northern Ireland",0,0,,ChIJZzfY7sIFYUgRgv5R08uLvcU
Cedarwood Garden Services,gardening service,07801 990865,"29a Pond Park Rd, Lisburn BT28 3LA, UK","Lisburn, Northern Ireland",0,0,,ChIJAWtGtxIEYUgRrO1AuVNbCsw
Hilden Lawn & Garden,gardening service,07518 464061,"58 Delacherois Ave, Lisburn BT27 4UA, UK","Lisburn, Northern Ireland",0,0,https://www.facebook.com/profile.php?id=61587216005371&locale=en_GB,ChIJVV8_0rxaxqkRuJ6PtxshqMc
CJS CLEANING SERVICE LTD,cleaning service,07934 710119,"21 Molyneaux Dr, Lisburn BT28 2LY, UK","Lisburn, Northern Ireland",0,0,,ChIJs9R913sFYUgRKbWmUdkFFYE
SINGING LESSONS with Pauline Carville,music teacher,07881 803662,"28 Lisburn Square, Lisburn BT28 1TS, UK","Lisburn, Northern Ireland",0,0,,ChIJIcppZWcEYUgR6h8gbS6rtvk
GrooveWorks Drum School,music teacher,07515 469273,"Enterprise Cres, Lisburn BT28 2BP, UK","Lisburn, Northern Ireland",0,0,,ChIJ9TDtAgoDYUgRlZPkdDHv4Ec
Ali's mobile Hairdressing,mobile hairdresser,07894 252716,"4 Main Street, Desertmartin, Magherafelt BT45 5LN, UK","Bangor, Northern Ireland",0,0,,ChIJqatjI9tdYEgRY2bXdfMUdLY
Milesian Fat Loss Coaching,personal trainer,07799 287951,"Pure Gym, Toscana Retail Park, Bangor BT19 1FH, UK","Bangor, Northern Ireland",0,0,,ChIJ3XArLaIJYUgRE26NHZtdrvI
C.M valenting & Detailing,mobile valeting,07716 909169,"19 Killaire Wood Ln, Bangor BT19 1ZY, UK","Bangor, Northern Ireland",0,0,,ChIJ3_Mc3M51YUgRpWKIR-jipmw
Stephen Reid Quality Painting & Decorating,painter decorator,07790 993773,"14 Lord Warden's Hollow, Bangor BT19 1GP, UK","Bangor, Northern Ireland",0,0,,ChIJ4XIyLZ11YUgRmB9bYuXrezA
Dynamic Decorators NI,painter decorator,07706 719164,"8 Ambleside Rd, Bangor BT20 4QA, UK","Bangor, Northern Ireland",0,0,,ChIJP_zP_F6fYUgRzG6Knyu_unM
Sparkle cleaning services,domestic cleaning,07580 638705,"8 Fern Grove, Rathgael Rd, Bangor BT19 1FG, UK","Bangor, Northern Ireland",0,0,,ChIJgdQ1OyB1YUgRTbJ3QtsiWPE
grooms by meg,dog groomer,07940 067661,"102 Ballyregan Rd, Holywood BT18 9RP, UK","Holywood, Northern Ireland",0,0,https://www.facebook.com/share/1QSs25tAvP/?mibextid=wwXIfr,ChIJERcChhQLYUgRargc0Yuoh3Q
Dog Walking & Pet Sitting Holywood,pet sitting,07456 312375,"18 Wood End, Holywood BT18 9PN, UK","Holywood, Northern Ireland",0,0,,ChIJM6REkW0KYUgR__2wsCUY-WI
Bayburn Fitness,personal trainer,07793 470324,"114 High St, Holywood BT18 9HW, UK","Holywood, Northern Ireland",0,0,,ChIJNXAJoi8LYUgRI-FFB9WSSwQ
APEX MOBILE VALETS,mobile car wash,07799 022957,"Ferndale Rd, Glengormley, Newtownabbey BT36 5AD, UK","Holywood, Northern Ireland",0,0,,ChIJjxcHNcqnYUgRiJdVghh6KBI
Rice autos,mobile mechanic,07860 643974,"13 Cooke St, Belfast BT7 2EP, UK","Holywood, Northern Ireland",0,0,,ChIJuQzAFUUJYUgREgajqKi6TSM
kelly's Kidz,chilminder,07703 624879,"61 Cronstown Cottage Park, Newtownards BT23 8QP, UK","Holywood, Northern Ireland",0,0,,ChIJCUEH29h1YUgRO082m4db1yE
Holywood Play Company,babysitting service,07837 598691,"22-30 Ean Hill, Holywood BT18 9LQ, UK","Holywood, Northern Ireland",0,0,,ChIJ2WjymnMKYUgRvneF3QgldbU
Mad Pups Dog Grooming,dog groomer,07365 658385,"Glenford Rd, Newtownards BT23 4AX, UK","Newtownards, Northern Ireland",0,0,https://www.facebook.com/profile.php?id=61580279942716,ChIJ1zRndNx1YUgRSQUi_10S9Vw
Tracey Ayre Dog Grooming,dog groomer,07874 012515,"Tern Park, Newtownards BT23 8FP, UK","Newtownards, Northern Ireland",0,0,,ChIJe81JpmN1YUgRlw7dDO6XWXo
Fluffology Dog Grooming,dog groomer,07872 328501,"3 Jubilee Rd, Newtownards BT23 4YH, UK","Newtownards, Northern Ireland",0,0,https://www.facebook.com/FluffologyDogGroomingNI,ChIJNRWDj8h1YUgRCkooZ0D_CBM
Paws...To Go...,pet sitting,07713 804136,"Old Shore Rd, Newtownards BT23 8NE, UK","Newtownards, Northern Ireland",0,0,,ChIJ1TrvRP51YUgROMEhxu_M3YY
Limitless fitness ni,personal trainer,07494 862439,"Benford Dr, Newtownards BT23 8TH, UK","Newtownards, Northern Ireland",0,0,,ChIJCemhWU90YUgRfy7-Sq2BHGU
Peak Detailing,car detailing,07515 967375,"76, Newtownards BT23 4UL, UK","Newtownards, Northern Ireland",0,0,https://www.facebook.com/PeakDetailing,ChIJjas7ti1t5AgR8CYVsQjNhZI
Refleq Detailing,car detailing,07401 999757,"43 Bridgelea Ave, Bangor, Newtownards BT23 7HX, UK","Newtownards, Northern Ireland",0,0,,ChIJZ9RtYlh1YUgRbJ3NaMsISRY
A1 Elite Mobile Detailing,mobile valeting,07519 777499,"Bridgelea Ct, Bangor, Newtownards BT22 7HW, UK","Newtownards, Northern Ireland",0,0,,ChIJb03OWvIPbIcRwk99ihL_s_0
Stephen McBurney Painting and Decorating,painter decorator,07545 349490,"3 Dermott Rd, Comber, Newtownards BT23 5LG, UK","Newtownards, Northern Ireland",0,0,https://www.facebook.com/share/17j2oBLiS3/,ChIJwRclJP5zYUgR-nkMcTGvKJM
NG Shaw Paint Spraying Services,painter decorator,07789 755888,"19 Court St, Newtownards BT23 7NX, UK","Newtownards, Northern Ireland",0,0,,ChIJ1QCMnZB1YUgRwAxAHzI7a7Y
Newtownards & Bangor Child Contact Centres,babysitting service,07540 143700,"Strean Presbyterian Church, Newtownards BT23 4EN, UK","Newtownards, Northern Ireland",0,0,,ChIJxwpmle90YUgRkY1ZzgD8E5U
